ind_name, fitness,scaled_energy,b/c,temp,strand_set
1730290756971-40,0.4841547761249815,0.052076901819517844,0.5704978605396114,338,a a b b*,a b a* a*,a* b* b* b,b a* b* a,b b* b a*,b* a* a a* 
1730290787469-87,0.45553552318299323,0.25921013897629647,0.3784233759190907,298,a a a* a,a a* b* b,a* b a b*,b a a b,b a* a b,b b* a b 
1730290751955-32,0.47948026366292695,0.07422868981233892,0.7293157620640351,318,a a a b,a a b b*,a a* a b*,a b b* a,a* a b b*,b* a* a* b 
1730290750748-29,0.5021719417005343,0.2576390308294613,0.3222600041128838,318,a a a* a,a a b b*,a* a* b a,b b b* b,b* b a* a*,b* b* a* a 
1730290751955-32,0.48816728272290183,0.05349094372150661,0.5092903646104336,328,a a a* b*,a a b b*,a a* a* b*,a b* a* b,a* a b b*,a* b* a* a 
1730290787469-87,0.5878791519860387,0.3603609199281717,0.5680572243077198,277,a a a* a,a a b* b,a a* b* b,b a* b* b 
1730290771085-61,0.5064353265926735,0.23569603342245526,0.26792266741506454,338,a a a* a,a a b b*,a* b b* b*,b b* b* b*,b* a* a a,b* b* a* b 
1730290751955-32,0.4939397687642302,0.07422868981233892,0.5956013279372748,318,a a a b,a a b b*,a a* a b*,a b b* a,a* a b b*,b* a b b* 
1730290751955-32,0.46967969736740256,0.1026500492355009,0.6715586573902931,308,a a a b,a a b b*,a a* a b*,a b b* a,a b b* b*,b a* b* a 
1730290770257-60,0.4204189594681493,0.19640296537885069,0.6908119639969225,308,a* b a b,b a* a b,b b b a*,b* a a a* 
1730290787469-87,0.588129058571348,0.3603609199281717,0.5444999510566844,277,a a a* a,a a b* b,a a* b* a,a a* b* b,a a* b* b*,b a* b* b 
1730290771085-61,0.4472596422848156,0.4167100162309052,0.7294470732192829,318,a a a b,a* a* b* a,a* b* a b,a* b* b* b*,b b b b*,b b* b* b* 
1730290771085-61,0.5074760373576394,0.07384464063328137,0.5708913774873281,358,a a a a*,a a a* a,a a b b*,a* b* a b,b b* b* b*,b* a b b 
1730290771085-61,0.48450749506403895,0.4167100162309052,0.5895470018600573,318,a a a a*,a a b b*,a b b b*,a* b b* b*,a* b* a b,b* b* a b* 
1730290750748-29,0.5169721038147687,0.12188717893517839,0.2432146103653703,328,a a a* a,a a a* b*,a a b b,a a b b*,a* a* a* b,a* a* b* b 
1730290771085-61,0.4930263551371044,0.23569603342245526,0.6223015831191505,338,a a a* a,a a b b*,a* b b* b*,a* b* a b,b* a* a a,b* b b* b* 
1730290771085-61,0.5074760373576394,0.07384464063328137,0.505915006955912,358,a a a a*,a a a* a,a a b b*,a b* b a*,b b* b* b*,b* a b b 
1730290751955-32,0.46456100765809794,0.14446078073880061,0.6955695625367744,298,a a b b*,a a* a b*,a* a b b*,b a b a,b a* b* b 
1730290771085-61,0.5015442207055846,0.5210668750806599,0.530389720465271,298,a a a a*,a a a* a,a a b b*,b b* b* b*,b* a b b,b* b* b* a* 
1730290789727-90,0.4570688119199739,0.33773784645803895,0.6544972413954884,318,a a a a*,a b a* b*,a b b b,a b* a* b*,b* b a a*,b* b b* b* 
1730290751955-32,0.4927354904637932,0.05349094372150661,0.39752212476375975,328,a a a* b*,a a b b*,a a* a* b*,a b* a* b,a* b* a* a,b* b* b* a 
1730290750748-29,0.4766837458156707,0.12188717893517839,0.6416221905461856,328,a a b b,a a b b*,a* a* a* b,a* a* b* b,b b a a,b* b b* a 
1730290756971-40,0.48463412061173444,0.052076901819517844,0.6484312858264281,338,a a b b*,a b a b*,a b a* a*,b a* b* a,b a* b* a*,b* a* a a* 
1730290789727-90,0.523510317720302,0.7118264240598174,0.6515356043442901,277,a a a a*,a a b* b,a a* b* b,a b b b,a b* b b*,a* a b b 
1730290787469-87,0.5809950906376538,0.3603609199281717,0.39359134525904094,277,a a a* a,a a b* b,a a* b* b,a a* b* b*,b a* b* b,b b b a* 
1730290751955-32,0.4895640681342088,0.1026500492355009,0.4584284900847675,308,a a a a*,a a a* b*,a a b b*,b a* b* b 
1730290751955-32,0.47731748616007386,0.05349094372150661,0.5764093721641138,328,a a a* b*,a a b b*,a a* a* b*,a* b* a* a,b a* b b,b* b* b* a 
1730290752577-33,0.5176897186706292,0.26858681191132067,0.29504362426685943,308,a a a* a,a a b b*,a* a* a b,a* a* b a*,a* a* b b,b* b a* b* 
1730290771085-61,0.48322569057110903,0.47092121036430556,0.6384449593306601,308,a a a* a,a a b b*,b b* b* b*,b* a* a a,b* b* a* b,b* b* b b* 
1730290771085-61,0.5070608528750374,0.07384464063328137,0.4181565769605521,358,a a a a*,a a a* a,a a b b*,a* a* b* b*,b b* b* b* 
1730290751955-32,0.5068369117902097,0.1026500492355009,0.3804882101136011,308,a a a* a,a a b b*,a a* a b*,b a b a,b a* b* b,b* b* a a 
1730290757112-41,0.5951690171453156,0.141290095530894,0.3678096771572692,277,a a a a*,a a a* a,a a b a,a a* a* a,a b b* b,a b b* b* 
1730290787469-87,0.510041692634742,0.12998578849549583,0.2432146103653703,328,a a a* a,a a b b*,a a* b* b,a a* b* b*,b a* a b*,b a* b* b 
