fitness,temp_num,scaled_energy,b/c,temp,strand_set
0.5073042816624217,4,0.1942648466980664,0.5000892311085585,328,a a*,a b*,a* a,a* b,b b* 
0.5450557740076631,1,0.32097821438993607,0.5610388522406871,298,a b*,a* a,b a*,b b*,b* a,b* b 
0.5170038921900906,3,0.34786757936567103,0.4826533401368181,318,a* a,a* b*,b a*,b b,b b* 
0.5024868123840232,4,0.1942648466980664,0.33265964566465095,328,a a,a b*,a* a,a* b,a* b*,b b 
0.5146292647382201,3,0.11744625482083128,0.5747629167591344,318,a a,a a*,a* a,b b,b b* 
0.4865972526367875,5,0.26661960183862415,0.4490133125547423,338,a a*,a b,a* b,b* a* 
0.5117746787790959,3,0.3785073048667695,0.6506123328041478,318,a a*,a b,b a*,b b,b b*,b* a* 
0.7039203333187387,0,0.5403634657978466,0.5402042396020535,277,a a,a b*,a* a,b a,b* a*,b* b 
0.4928874466267267,4,0.1942648466980664,0.29917160525150654,328,a b*,a* a,a* b*,b b,b* a 
0.515122601290446,2,0.0486184110207399,0.7851105664206756,308,a a*,a* b,b b,b b*,b* b 
0.5595878398902663,1,0.2786562113089135,0.5611661794105189,298,a a,a b*,a* b*,b b*,b* a,b* b 
0.5119755031196191,4,0.1942648466980664,0.41926900378705856,328,a a,a b*,a* a,b b*,b* b 
0.5089756990905449,5,0.02014049175121228,0.4112049924588917,338,a b*,b b,b* a 
0.49147849061637316,4,0.03345601714574422,0.3068338168066433,328,a b,a* a,a* b,a* b*,b b,b* a 
0.4882772565457031,3,0.0309244558380383,0.798730133915957,318,a a*,a b,a* b,b a,b b,b b* 
0.5027141716448544,3,0.3785073048667695,0.747497548858026,318,a a*,b a*,b b,b b*,b* b 
0.5689581823418272,1,0.4727894990286171,0.6792113874156173,298,a a*,a* b*,b b,b b*,b* b 
0.517257724977178,3,0.3157058647567646,0.5634795747381576,318,a a*,a b*,a* a,b a,b b*,b* b* 
0.5025802358946023,1,0.6132518636047333,0.4253183231771457,298,a* a,a* b*,b a,b b,b* a 
0.5649083366829982,1,0.2786562113089135,0.5760244306725775,298,a a,a* a,a* b*,b b*,b* a,b* b 
0.5719524537363067,1,0.5071528220192016,0.7509227700012939,298,a a,a a*,a* b,b b,b b*,b* b 
0.4872121968161753,3,0.3157058647567646,0.831471352917562,318,a a*,a b,a* a*,a* b,b b,b b* 
0.565172753718548,1,0.4727894990286171,0.6166732236214283,298,a a*,a* b*,b a*,b b*,b* b,b* b* 
0.5015891445015472,3,0.34786757936567103,0.34662866592423697,318,a* a,a* b*,b a,b b,b* a 
0.5051458539282587,5,0.1291805676243533,0.37685318105689386,338,a a,a b*,a* a,b a,b b*,b* a* 
0.4989871526605312,2,0.5124403627895234,0.423629912266789,308,a* a,a* b*,b a,b b,b* a 
0.6975045796175027,0,0.6944319629119903,0.8129402115101791,277,a a,a a*,a* a,b b*,b* a*,b* b 
0.715319055878668,0,0.7549315520880646,0.6181650100021141,277,a a,a b*,a* a,b* a,b* a*,b* b 
