           0  -0.982555   0.000  0.000  0.000   
      100000  -1.052797   0.646  0.569  0.000   
      200000  -1.063923   0.654  0.565  0.000   
      300000  -1.089671   0.659  0.562  0.000   
      400000  -1.102338   0.670  0.561  0.000   
      500000  -1.109364   0.674  0.560  0.000   
      600000  -1.096860   0.679  0.561  0.000   
      700000  -1.117186   0.684  0.561  0.000   
      800000  -1.115009   0.690  0.561  0.000   
      900000  -1.105327   0.694  0.561  0.000   
     1000000  -1.112896   0.696  0.561  0.000   
