           0  -0.991307   0.000  0.000  0.000   
      100000  -1.095587   0.653  0.562  0.000   
      200000  -1.118226   0.667  0.557  0.000   
      300000  -1.134270   0.660  0.551  0.000   
      400000  -1.150748   0.656  0.547  0.000   
      500000  -1.134936   0.654  0.545  0.000   
      600000  -1.166972   0.656  0.544  0.000   
      700000  -1.163857   0.658  0.543  0.000   
      800000  -1.135372   0.658  0.543  0.000   
      900000  -1.181927   0.656  0.542  0.000   
     1000000  -1.178035   0.650  0.540  0.000   
